実質季節調整系列,,,,,,,,, ,,,,,,,,,,,,,
Gross Domestic Expenditure at Constant Prices (seasonally adjusted series),,,,,,,,,,,,,,,,,,,,,,
※旧68SNA・1990年基準計数（1999年4-6月期から2000年1-3月期の計数は速報値、2000年4-6月期以降の計数は簡便的に推計した参考系列である。）,,,,,,,,,,,,(1990暦年基準),,,,,,(単位:10億円),,,,
"    Former SNA68 series ; Benchmark year=1990 (Apr.-Jun.1999 to Jan.-Mar.2000:Preliminary , Apr.-Jun. to Oct.-Dec.2000:Referential)",,,,,,,,,,,,(at market prices in calendar year of 1990),,,,,,(billion yen),,,,
,民間最終消費支出,民間住宅,民間企業設備,民間在庫品増加,政府最終消費支出,公的固定資本形成,公的在庫品増加,財貨・サービス,,,国内総支出,要素所得,,,国民総支出,国内需要,民間需要,公的需要,,,,
,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,
,Private Consumption,Residential Investment,Non-Resi. Investment,Private Inventory,Government Consumption,Public Investment,Public Inventory,Goods & Services,,,GDE(=GDP),Factor Incomes,,,GNE(=GNP),Domestic Demand,Private Demand,Public Demand,,,,
,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,
1955/ 1- 3.,,,, , ,,,,,,,,,,,,,,,,,
7- 9.,54846.8 ,3825.6 ,9069.2 ,586.7 ,13585.2 ,6605.2 ,51.7 ,-1256.9 ,3268.5 ,4525.4 ,87313.4 ,-170.6 ,318.0 ,488.6 ,87142.8 ,88570.2 ,68328.2 ,20242.0 
10-12.,56417.5 ,3902.9 ,9026.7 ,370.3 ,13786.3 ,6935.4 ,-12.1 ,-1293.8 ,3244.8 ,4538.6 ,89133.2 ,-200.8 ,302.2 ,503.0 ,88932.4 ,90426.9 ,69717.4 ,20709.5 
1963/ 1- 3.,57391.8 ,3845.2 ,9205.0 ,569.1 ,13995.0 ,7029.7 ,-31.3 ,-1637.0 ,3196.1 ,4833.1 ,90367.5 ,-216.0 ,298.1 ,514.1 ,90151.5 ,92004.4 ,71011.1 ,20993.3 
4- 6.,58838.8 ,4260.7 ,9552.8 ,844.1 ,14490.7 ,7199.3 ,-227.2 ,-1938.4 ,3297.1 ,5235.5 ,93020.7 ,-212.8 ,313.6 ,526.3 ,92807.9 ,94959.1 ,73496.4 ,21462.7 
7- 9.,60553.8 ,4703.2 ,9812.6 ,1181.7 ,14597.1 ,7409.7 ,-220.5 ,-2291.9 ,3452.5 ,5744.4 ,95745.8 ,-260.5 ,318.4 ,578.9 ,95485.3 ,98037.7 ,76251.3 ,21786.4 
10-12.,61690.8 ,5061.9 ,10574.0 ,1750.2 ,14714.7 ,7682.4 ,82.1 ,-2512.5 ,3575.8 ,6088.3 ,99043.6 ,-202.7 ,345.8 ,548.5 ,98840.9 ,101556.1 ,79076.9 ,22479.3 
1964/ 1- 3.,64011.0 ,5406.7 ,10992.2 ,1938.3 ,14935.1 ,7674.7 ,-151.5 ,-2599.5 ,3693.4 ,6292.9 ,102207.0 ,-300.0 ,342.1 ,642.0 ,101907.0 ,104806.5 ,82348.3 ,22458.2 
4- 6.,66194.6 ,5415.7 ,11363.9 ,1375.8 ,14655.2 ,7661.5 ,218.0 ,-2212.5 ,3982.0 ,6194.6 ,104672.3 ,-378.8 ,294.7 ,673.5 ,104293.5 ,106884.8 ,84350.0 ,22534.8 
7- 9.,66893.5 ,5643.5 ,11900.0 ,1171.2 ,14884.5 ,7737.2 ,40.6 ,-1982.7 ,4122.0 ,6104.8 ,106287.9 ,-323.6 ,336.2 ,659.8 ,105964.3 ,108270.7 ,85608.3 ,22662.4 
10-12.,67283.5 ,6048.0 ,11956.9 ,926.3 ,15044.8 ,8098.6 ,-89.3 ,-1654.3 ,4621.3 ,6275.6 ,107614.6 ,-366.1 ,310.4 ,676.4 ,107248.5 ,109268.9 ,86214.8 ,23054.1 
1965/ 1- 3.,68007.3 ,6282.5 ,11589.4 ,200.2 ,15301.8 ,8171.3 ,396.4 ,-1456.2 ,4993.4 ,6449.6 ,108492.7 ,-320.8 ,349.3 ,670.1 ,108171.9 ,109948.9 ,86079.4 ,23869.5 
4- 6.,68838.3 ,6705.5 ,10883.4 ,1156.5 ,15122.0 ,8312.9 ,311.9 ,-1483.0 ,5126.3 ,6609.3 ,109847.4 ,-342.4 ,361.6 ,704.0 ,109505.0 ,111330.4 ,87583.6 ,23746.8 
