実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
4- 6.,"469,138.7 ","262,217.2 ","256,869.7 ","217,769.1 ","26,877.8 ","73,817.0 ","-3,777.3 ","81,532.7 ","47,686.7 ",-7.6 ,"-11,524.0 ","45,110.4 ","56,634.4 ","-7,683.7 ",,"19,924.1 ","489,062.8 ","6,236.7 ","10,157.8 ","3,921.1 ","495,299.5 ",,"485,982.0 ","359,115.5 ","127,192.7 ",,"145,866.8 ",,"471,964.3 ",,,
7- 9.,"471,692.0 ","264,089.6 ","258,558.4 ","219,206.4 ","27,140.0 ","73,391.8 ","-3,443.1 ","82,478.5 ","46,224.9 ",-9.8 ,"-11,020.6 ","47,048.6 ","58,069.2 ","-7,159.4 ",,"18,980.2 ","490,672.2 ","6,342.8 ","9,961.8 ","3,619.0 ","497,015.0 ",,"487,587.9 ","361,083.2 ","126,795.2 ",,"144,328.4 ",,"474,214.9 ",,,
10-12.,"471,873.4 ","264,831.9 ","259,328.8 ","219,736.2 ","26,009.4 ","74,183.8 ","-3,570.0 ","82,804.5 ","46,010.0 ",-387.8 ,"-11,687.1 ","48,122.9 ","59,810.0 ","-6,321.1 ",,"20,093.2 ","491,966.6 ","6,657.3 ","10,164.7 ","3,507.3 ","498,624.0 ",,"487,908.6 ","361,551.1 ","126,634.8 ",,"143,977.2 ",,"474,778.4 ",,,
2000/ 1- 3.,"479,853.7 ","266,286.1 ","261,034.9 ","221,195.3 ","26,274.5 ","76,969.7 ","-1,610.0 ","83,857.6 ","43,483.5 ",179.8 ,"-9,119.8 ","50,707.9 ","59,827.7 ","-6,467.6 ",,"18,311.9 ","498,165.6 ","6,354.6 ","10,530.5 ","4,175.9 ","504,520.1 ",,"493,599.0 ","367,929.0 ","125,823.4 ",,"144,915.8 ",,"480,605.2 ",,,
4- 6.,"482,102.1 ","265,880.0 ","260,964.5 ","220,883.0 ","26,955.2 ","75,878.9 ","1,321.9 ","84,867.6 ","43,186.7 ",40.0 ,"-9,888.3 ","52,332.0 ","62,220.4 ","-6,139.9 ",,"19,087.4 ","501,189.4 ","7,696.0 ","11,318.9 ","3,623.0 ","508,885.4 ",,"495,972.0 ","369,664.0 ","126,462.0 ",,"144,090.4 ",,"480,369.1 ",,,
7- 9.,"482,287.9 ","266,436.5 ","261,762.3 ","221,431.0 ","26,428.4 ","78,476.9 ","-1,031.7 ","85,491.8 ","42,386.3 ",-47.8 ,"-10,674.1 ","53,198.9 ","63,872.9 ","-5,178.3 ",,"18,700.5 ","500,988.4 ","7,662.7 ","11,412.1 ","3,749.4 ","508,651.1 ",,"496,447.7 ","370,305.4 ","126,281.6 ",,"145,670.5 ",,"482,700.5 ",,,
10-12.,"486,936.4 ","269,680.7 ","265,040.5 ","224,446.3 ","26,973.0 ","80,839.1 ",268.1 ,"86,040.8 ","41,063.3 ",-73.5 ,"-13,228.6 ","52,968.7 ","66,197.2 ","-4,626.5 ",,"19,354.0 ","506,290.4 ","7,672.0 ","11,819.2 ","4,147.2 ","513,962.4 ",,"503,242.2 ","377,669.4 ","125,589.3 ",,"147,483.7 ",,"486,218.1 ",,,
2001/ 1- 3.,"490,517.0 ","271,259.3 ","266,447.2 ","225,609.5 ","26,979.7 ","81,265.8 ","2,148.9 ","86,182.8 ","43,062.1 ",17.8 ,"-15,263.5 ","51,053.7 ","66,317.1 ","-5,135.9 ",,"19,229.1 ","509,746.1 ","7,943.8 ","12,164.4 ","4,220.6 ","517,689.9 ",,"509,019.0 ","381,410.7 ","127,663.1 ",,"149,746.2 ",,"488,060.7 ",,,
4- 6.,"486,881.0 ","273,513.5 ","268,488.8 ","227,418.5 ","25,461.1 ","79,098.7 ","2,335.4 ","86,935.8 ","40,506.1 ",-213.9 ,"-15,718.6 ","49,153.2 ","64,871.8 ","-5,037.2 ",,"17,985.7 ","504,866.7 ","7,746.6 ","11,766.2 ","4,019.7 ","512,613.2 ",,"506,099.5 ","380,253.9 ","125,851.6 ",,"143,754.6 ",,"484,452.1 ",,,
7- 9.,"481,601.9 ","273,378.9 ","268,228.8 ","226,925.9 ","25,326.5 ","77,644.1 ","-2,165.2 ","87,083.2 ","40,509.7 ",-243.2 ,"-14,882.8 ","48,073.1 ","62,955.9 ","-5,049.2 ",,"17,670.3 ","499,272.2 ","7,671.8 ","11,484.2 ","3,812.5 ","506,944.0 ",,"500,287.8 ","374,385.2 ","125,981.8 ",,"142,087.9 ",,"483,180.1 ",,,
10-12.,"479,886.6 ","272,872.8 ","267,701.5 ","226,173.1 ","25,452.9 ","74,594.7 ","-1,116.1 ","88,175.7 ","39,545.2 ",-24.6 ,"-13,941.2 ","47,152.2 ","61,093.4 ","-5,672.7 ",,"18,826.3 ","498,712.9 ","8,156.3 ","11,501.6 ","3,345.3 ","506,869.3 ",,"498,070.3 ","371,792.4 ","126,396.8 ",,"138,085.6 ",,"480,359.8 ",,,
2002/ 1- 3.,"480,717.0 ","274,471.7 ","269,389.7 ","227,625.7 ","25,206.8 ","73,956.7 ","-3,495.8 ","88,207.0 ","40,031.3 ",-81.5 ,"-12,309.6 ","49,302.1 ","61,611.7 ","-5,269.7 ",,"18,742.7 ","499,459.7 ","7,957.3 ","10,999.5 ","3,042.2 ","507,417.0 ",,"497,074.5 ","370,368.7 ","126,834.5 ",,"137,634.7 ",,"483,320.4 ",,,
4- 6.,"484,656.5 ","276,777.4 ","271,848.2 ","229,859.0 ","25,278.8 ","72,927.1 ","-2,443.7 ","88,526.0 ","38,945.1 ",-24.4 ,"-10,534.8 ","52,915.9 ","63,450.7 ","-4,794.9 ",,"18,719.7 ","503,376.2 ","7,188.6 ","10,396.6 ","3,208.0 ","510,564.8 ",,"498,792.7 ","372,654.8 ","126,228.6 ",,"135,624.8 ",,"486,283.3 ",,,
7- 9.,"486,156.0 ","276,969.8 ","272,143.8 ","229,943.1 ","25,217.2 ","74,123.9 ","-1,522.9 ","89,210.1 ","38,796.4 ",-65.6 ,"-12,266.2 ","53,285.4 ","65,551.6 ","-4,306.7 ",,"18,813.6 ","504,969.6 ","7,363.3 ","10,717.9 ","3,354.6 ","512,332.9 ",,"501,549.8 ","374,869.0 ","126,764.8 ",,"136,702.6 ",,"487,005.5 ",,,
10-12.,"487,462.0 ","276,266.9 ","271,410.9 ","228,995.8 ","24,894.4 ","74,180.2 ",490.3 ,"89,071.1 ","38,216.3 ",-171.5 ,"-11,391.9 ","55,127.5 ","66,519.4 ","-4,093.7 ",,"19,157.3 ","506,619.4 ","7,020.4 ","10,286.1 ","3,265.7 ","513,639.7 ",,"501,716.2 ","375,772.3 ","126,005.5 ",,"135,941.4 ",,"486,629.5 ",,,
