é¿éøãGêﬂí≤êÆånóÒ,,,,,,,,,,,,,,,,<éQçl>,,,,,,,,,,,(íPà :2000óÔîNòAçΩâøäiÅA10â≠â~),,,,,,,,,,,
Real Gross Domestic Product (seasonally adjusted series),,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billions of chained (2000) yen),,,,,,,,,,,
,çëì‡ëçê∂éY(éxèoë§),ñØä‘ç≈èIè¡îÔéxèo,,,ñØä‘èZëÓ,ñØä‘äÈã∆ê›îı,ñØä‘ç›å…ïiëùâ¡,ê≠ï{ç≈èIè¡îÔéxèo,åˆìIå≈íËéëñ{å`ê¨,åˆìIç›å…ïiëùâ¡,ç‡â›ÅEÉTÅ[ÉrÉX,,,äJç∑,,åà’óòìæ,çëì‡ëçèäìæ,äCäOÇ©ÇÁÇÃèäìæ,,,çëñØëçèäìæ,,çëì‡é˘óv,ñØä‘é˘óv,åˆìIé˘óv,,ëçå≈íËéëñ{å`ê¨,,,,,,,,,,,
,,,â∆åvç≈èIè¡îÔéxèo,,,,,,,,èÉóAèo,óAèo,óAì¸,,,,,èÉéÛéÊ,éÛéÊ,éxï•,,,,,,,,,,,,,,,,,,
,,,,èúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(expenditure approach),PrivateConsumption,Consumption ofHouseholds,Excludingimputed rent,PrivateResidentialInvestment,Private Non-Resi.Investment,PrivateInventory,GovernmentConsumption,PublicInvestment,PublicInventory,Goods & Services,,,Residual,,Tradinggains/losses,GDI,Income from /to the rest of the world,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross fixed capitalformation,,,,,,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,,,,,,,
1985/ 1- 3.,"342,067.7 ","193,664.4 ","190,681.6 ","161,627.9 ","16,813.2 ","46,005.8 ","2,192.9 ","52,188.5 ","23,202.6 ",-847.2 ,"9,050.2 ","29,191.8 ","20,141.6 ",-202.7 ,,"-3,560.2 ","338,507.4 ","1,064.9 ","6,049.4 ","4,984.5 ","339,572.3 ",,"332,556.9 ","258,493.4 ","74,341.5 ",,"85,664.0 ",,,,,,,,,,,
4- 6.,"348,994.4 ","196,723.0 ","193,716.0 ","164,408.1 ","17,439.4 ","46,646.2 ","5,030.2 ","52,527.6 ","23,827.6 ","-8,990.4 ","10,464.0 ","30,280.3 ","19,816.3 ","5,326.8 ",,"-3,827.0 ","345,167.4 ","1,427.4 ","6,325.8 ","4,898.4 ","346,594.8 ",,"336,969.4 ","267,449.7 ","69,451.2 ",,"87,452.2 ",,,,,,,,,,,
7- 9.,"353,561.2 ","197,356.1 ","194,323.3 ","164,871.3 ","17,339.7 ","49,476.6 ","1,924.7 ","53,050.2 ","23,418.7 ","-1,021.3 ","10,514.5 ","29,644.8 ","19,130.3 ","1,501.9 ",,"-3,584.4 ","349,976.8 ","1,402.5 ","6,002.6 ","4,600.1 ","351,379.3 ",,"341,297.1 ","266,229.8 ","75,289.8 ",,"90,084.8 ",,,,,,,,,,,
10-12.,"358,258.0 ","201,532.3 ","198,453.0 ","168,705.5 ","16,985.8 ","50,180.1 ","1,926.8 ","53,519.8 ","23,166.5 ","-1,029.0 ","10,501.9 ","29,591.7 ","19,089.9 ","1,473.7 ",,"-2,649.5 ","355,608.4 ","1,294.5 ","5,343.3 ","4,048.8 ","356,902.9 ",,"346,044.3 ","270,733.9 ","75,484.4 ",,"90,327.1 ",,,,,,,,,,,
1986/ 1- 3.,"359,682.6 ","202,093.6 ","198,950.0 ","169,055.8 ","17,322.6 ","49,694.9 ","3,976.4 ","53,537.6 ","23,431.4 ",-922.2 ,"9,004.2 ","28,062.5 ","19,058.2 ","1,544.0 ",,"-1,267.4 ","358,415.2 ","1,172.7 ","5,354.1 ","4,181.5 ","359,587.8 ",,"350,014.6 ","274,270.6 ","75,895.9 ",,"90,323.4 ",,,,,,,,,,,
4- 6.,"358,798.9 ","203,394.1 ","200,172.6 ","170,105.1 ","17,875.5 ","51,000.1 ","1,087.2 ","53,209.9 ","24,177.3 ",842.0 ,"8,398.4 ","28,663.2 ","20,264.8 ","-1,185.6 ",,"2,294.5 ","361,093.3 ","1,409.4 ","5,332.5 ","3,923.1 ","362,502.7 ",,"350,455.5 ","272,977.0 ","77,721.9 ",,"92,898.0 ",,,,,,,,,,,
7- 9.,"360,900.7 ","206,333.7 ","203,041.6 ","172,728.0 ","18,692.4 ","51,186.9 ",759.6 ,"54,697.5 ","24,666.5 ",-255.1 ,"7,106.4 ","28,020.4 ","20,914.1 ","-2,287.2 ",,"4,864.0 ","365,764.7 ","1,182.3 ","5,255.0 ","4,072.7 ","366,947.0 ",,"354,852.7 ","276,250.5 ","78,856.8 ",,"94,233.6 ",,,,,,,,,,,
10-12.,"363,747.2 ","206,862.5 ","203,533.3 ","173,068.7 ","19,326.3 ","52,053.3 ",768.1 ,"57,118.1 ","24,830.3 ","-2,844.1 ","7,126.3 ","27,986.4 ","20,860.1 ","-1,493.6 ",,"3,967.8 ","367,714.9 ","1,341.1 ","5,962.8 ","4,621.6 ","369,056.0 ",,"357,562.5 ","278,407.7 ","79,407.9 ",,"95,858.3 ",,,,,,,,,,,
1987/ 1- 3.,"363,486.3 ","209,690.2 ","206,356.1 ","175,649.8 ","19,706.6 ","51,632.2 ",-840.8 ,"55,835.9 ","24,241.8 ","-1,607.1 ","7,323.0 ","27,826.9 ","20,503.9 ","-2,495.5 ",,"3,178.9 ","366,665.2 ","1,630.7 ","6,731.7 ","5,101.0 ","368,295.9 ",,"356,921.2 ","278,654.6 ","78,480.7 ",,"95,172.0 ",,,,,,,,,,,
4- 6.,"371,103.5 ","211,569.8 ","208,239.9 ","177,318.3 ","21,115.6 ","52,798.1 ","1,373.9 ","56,825.7 ","24,562.0 ","-1,335.8 ","6,116.6 ","27,897.6 ","21,780.9 ","-1,922.3 ",,"2,487.2 ","373,590.7 ","1,680.6 ","7,060.9 ","5,380.3 ","375,271.3 ",,"366,160.9 ","286,379.9 ","79,974.9 ",,"97,921.1 ",,,,,,,,,,,
